2010 Census Code,2010 Census Title,O*NET-SOC 2019 Code,O*NET-SOC 2019 Title
53-6099,Chief executives,11-1011.00,Chief Executives
53-6099,General and operations managers,11-1021.00,General and Operations Managers
53-6099,Legislators,11-1031.00,Legislators
53-6099,Advertising and promotions managers,11-2011.00,Advertising and Promotions Managers
53-6099,Marketing and sales managers,11-2022.00,Sales Managers
53-6099,Public relations and fundraising managers,11-2032.00,Public Relations Managers
53-6099,Administrative services managers,11-3012.00,Administrative Services Managers
53-6099,Computer and information systems managers,11-3021.00,Computer and Information Systems Managers
53-6099,Financial managers,11-3031.00,Financial Managers
53-6099,Compensation and benefits managers,11-3111.00,Compensation and Benefits Managers
53-6099,Human resources managers,11-3121.00,Human Resources Managers
53-6099,Training and development managers,11-3131.00,Training and Development Managers
53-6099,Industrial production managers,11-3051.00,Industrial Production Managers
53-6099,Purchasing managers,11-3061.00,Purchasing Managers
53-6099,"Transportation, storage, and distribution managers",11-3071.00,"Transportation, Storage, and Distribution Managers"
53-6099,"Farmers, ranchers, and other agricultural managers",11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers"
53-6099,Construction managers,11-9021.00,Construction Managers
53-6099,Education administrators,11-9032.00,"Education Administrators, Kindergarten through Secondary"
53-6099,Architectural and engineering managers,11-9041.00,Architectural and Engineering Managers
53-6099,Food service managers,11-9051.00,Food Service Managers
53-6099,Funeral service managers,11-9171.00,Funeral Home Managers
53-6099,Gaming managers,11-9071.00,Gambling Managers
53-6099,Lodging managers,11-9081.00,Lodging Managers
53-6099,Medical and health services managers,11-9111.00,Medical and Health Services Managers
53-6099,Natural sciences managers,11-9121.00,Natural Sciences Managers
53-6099,Postmasters and mail superintendents,11-9131.00,Postmasters and Mail Superintendents
53-6099,"Property, real estate, and community association managers",11-9141.00,"Property, Real Estate, and Community Association Managers"
53-6099,Social and community service managers,11-9151.00,Social and Community Service Managers
53-6099,Emergency management directors,11-9161.00,Emergency Management Directors
