ISCO-08 Code,ISCO-08 Title EN,O*NET-SOC 2019 Code,O*NET-SOC 2019 Title
1111,Legislators,11-1031.00,Legislators
1211,Finance managers,11-3031.00,Financial Managers
1213,Policy and planning managers,13-1082.00,Project Management Specialists
1311,Agricultural and forestry production managers,11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers"
1312,Aquaculture and fisheries production managers,11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers"
1321,Manufacturing managers,11-3051.00,Industrial Production Managers
1322,Mining managers,13-1082.00,Project Management Specialists
1323,Construction managers,11-9021.00,Construction Managers
1324,"Supply, distribution and related managers",11-3071.00,"Transportation, Storage, and Distribution Managers"
1330,Information and communications technology service managers,11-3021.00,Computer and Information Systems Managers
1341,Child care services managers,11-9031.00,"Education and Childcare Administrators, Preschool and Daycare"
1342,Health services managers,11-9111.00,Medical and Health Services Managers
1344,Social welfare managers,11-9151.00,Social and Community Service Managers
1349,Professional services managers not elsewhere classified,13-1082.00,Project Management Specialists
1411,Hotel managers,11-9081.00,Lodging Managers
1412,Restaurant managers,11-9051.00,Food Service Managers
1420,Retail and wholesale trade managers,11-1021.00,General and Operations Managers
1439,Services managers not elsewhere classified,13-1082.00,Project Management Specialists
211,Physical and earth science professionals,19-2099.00,"Physical Scientists, All Other"
2112,Meteorologists,19-2021.00,Atmospheric and Space Scientists
2141,Industrial and production engineers,17-2112.00,Industrial Engineers
2142,Civil engineers,17-2051.00,Civil Engineers
2143,Environmental engineers,17-2081.00,Environmental Engineers
2145,Chemical engineers,17-2041.00,Chemical Engineers
2151,Electrical engineers,17-2071.00,Electrical Engineers
2153,Telecommunications engineers,17-2072.00,"Electronics Engineers, Except Computer"
2161,Building architects,17-1011.00,"Architects, Except Landscape and Naval"
2162,Landscape architects,17-1012.00,Landscape Architects
2164,Town and traffic planners,19-3051.00,Urban and Regional Planners
2222,Midwifery professionals,29-1161.00,Nurse Midwives
2230,Traditional and complementary medicine professionals,29-1299.00,"Healthcare Diagnosing or Treating Practitioners, All Other"
2240,Paramedical practitioners,29-1071.00,Physician Assistants
2250,Veterinarians,29-1131.00,Veterinarians
2262,Pharmacists,29-1051.00,Pharmacists
2265,Dieticians and nutritionists,29-1031.00,Dietitians and Nutritionists
2267,Optometrists and ophthalmic opticians,29-1041.00,Optometrists
2330,Secondary education teachers,25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education"
2351,Education methods specialists,25-9031.00,Instructional Coordinators
2354,Other music teachers,25-3021.00,Self-Enrichment Teachers
2356,Information technology trainers,13-1151.00,Training and Development Specialists
2422,Policy administration professionals,13-1199.00,"Business Operations Specialists, All Other"
2424,Training and staff development professionals,13-1151.00,Training and Development Specialists
2432,Public relations professionals,27-3031.00,Public Relations Specialists
2513,Web and multimedia developers,15-1254.00,Web Developers
2514,Applications programmers,15-1251.00,Computer Programmers
2519,Software and applications developers and analysts not elsewhere classified,13-1082.00,Project Management Specialists
2521,Database designers and administrators,15-1242.00,Database Administrators
2522,Systems administrators,15-1244.00,Network and Computer Systems Administrators
2523,Computer network professionals,15-1241.00,Computer Network Architects
2611,Lawyers,23-1011.00,Lawyers
2619,Legal professionals not elsewhere classified,23-1022.00,"Arbitrators, Mediators, and Conciliators"
2631,Economists,19-3011.00,Economists
2655,Actors,27-2011.00,Actors
2659,Creative and performing artists not elsewhere classified,27-2099.00,"Entertainers and Performers, Sports and Related Workers, All Other"
3114,Electronics engineering technicians,17-3023.00,Electrical and Electronic Engineering Technologists and Technicians
3116,Chemical engineering technicians,17-3029.00,"Engineering Technologists and Technicians, Except Drafters, All Other"
3121,Mining supervisors,47-1011.00,First-Line Supervisors of Construction Trades and Extraction Workers
3122,Manufacturing supervisors,51-1011.00,First-Line Supervisors of Production and Operating Workers
3123,Construction supervisors,47-1011.00,First-Line Supervisors of Construction Trades and Extraction Workers
3133,Chemical processing plant controllers,51-8091.00,Chemical Plant and System Operators
3135,Metal production process controllers,51-4051.00,Metal-Refining Furnace Operators and Tenders
3139,Process control technicians not elsewhere classified,51-9162.00,Computer Numerically Controlled Tool Programmers
3142,Agricultural technicians,19-4012.00,Agricultural Technicians
3143,Forestry technicians,19-4071.00,Forest and Conservation Technicians
315,Ship and aircraft controllers and technicians,53-2022.00,Airfield Operations Specialists
3155,Air traffic safety electronics technicians,17-3023.00,Electrical and Electronic Engineering Technologists and Technicians
3213,Pharmaceutical technicians and assistants,29-2052.00,Pharmacy Technicians
3221,Nursing associate professionals,29-2061.00,Licensed Practical and Licensed Vocational Nurses
3222,Midwifery associate professionals,29-9099.00,"Healthcare Practitioners and Technical Workers, All Other"
3230,Traditional and complementary medicine associate professionals,29-9099.00,"Healthcare Practitioners and Technical Workers, All Other"
3252,Medical records and health information technicians,29-2072.00,Medical Records Specialists
3253,Community health workers,21-1094.00,Community Health Workers
3254,Dispensing opticians,29-2081.00,"Opticians, Dispensing"
3258,Ambulance workers,29-2042.00,Emergency Medical Technicians
3313,Accounting associate professionals,43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks"
3322 ,Commercial sales representatives,41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products"
3332,Conference and event planners,13-1121.00,"Meeting, Convention, and Event Planners"
3341,Office supervisors,43-1011.00,First-Line Supervisors of Office and Administrative Support Workers
3342,Legal secretaries,43-6012.00,Legal Secretaries and Administrative Assistants
3352,Government tax and excise officials,13-2081.00,"Tax Examiners and Collectors, and Revenue Agents"
3359,Regulatory government associate professionals not elsewhere classified,45-2011.00,Agricultural Inspectors
3412,Social work associate professionals,21-1093.00,Social and Human Service Assistants
3413,Religious associate professionals,21-2099.00,"Religious Workers, All Other"
3421,Athletes and sports players,27-2021.00,Athletes and Sports Competitors
3431,Photographers,27-4021.00,Photographers
3511,Information and communications technology operations technicians,15-1299.00,"Computer Occupations, All Other"
3512,Information and communications technology user support technicians,15-1232.00,Computer User Support Specialists
3513,Computer network and systems technicians,15-1231.00,Computer Network Support Specialists
3522,Telecommunications engineering technicians,17-3023.00,Electrical and Electronic Engineering Technologists and Technicians
4120,Secretaries (general),43-6014.00,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive"
4131,Typists and word processing operators,43-9022.00,Word Processors and Typists
4132,Data entry clerks,43-9021.00,Data Entry Keyers
4226,Receptionists (general),43-4171.00,Receptionists and Information Clerks
4227,Survey and market research interviewers,43-4111.00,"Interviewers, Except Eligibility and Loan"
4313,Payroll clerks,43-3051.00,Payroll and Timekeeping Clerks
4322,Production clerks,43-5061.00,"Production, Planning, and Expediting Clerks"
4323,Transport clerks,43-5032.00,"Dispatchers, Except Police, Fire, and Ambulance"
4413,"Coding, proof-reading and related clerks",43-9081.00,Proofreaders and Copy Markers
4416,Personnel clerks,43-4161.00,"Human Resources Assistants, Except Payroll and Timekeeping"
5132,Bartenders,35-3011.00,Bartenders
5151,"Cleaning and housekeeping supervisors in offices, hotels and other establishments",37-1011.00,First-Line Supervisors of Housekeeping and Janitorial Workers
5153,Building caretakers,37-2011.00,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners"
5161,"Astrologers, fortune-tellers and related workers",27-2099.00,"Entertainers and Performers, Sports and Related Workers, All Other"
5165,Driving instructors,25-3021.00,Self-Enrichment Teachers
5211,Stall and market salespersons,41-9091.00,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers"
5221,Shopkeepers,11-1021.00,General and Operations Managers
5222,Shop supervisors,41-1011.00,First-Line Supervisors of Retail Sales Workers
5241,Fashion and other models,41-9012.00,Models
5242,Sales demonstrators,41-9011.00,Demonstrators and Product Promoters
5243,Door to door salespersons,41-9091.00,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers"
5244,Contact centre salespersons,41-9041.00,Telemarketers
5312,Teachers' aides,25-9042.00,"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education"
6310,Subsistence crop farmers,45-2092.00,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse"
6320,Subsistence livestock farmers,45-2093.00,"Farmworkers, Farm, Ranch, and Aquacultural Animals"
7111,House builders,11-9021.00,Construction Managers
7115,Carpenters and joiners,47-2031.00,Carpenters
7121,Roofers,47-2181.00,Roofers
7125,Glaziers,47-2121.00,Glaziers
7133,Building structure cleaners,37-2019.00,"Building Cleaning Workers, All Other"
7215,Riggers and cable splicers,49-9096.00,Riggers
7313,Jewellery and precious-metal workers,51-9071.00,Jewelers and Precious Stone and Metal Workers
7318,"Handicraft workers in textile, leather and related materials",51-6041.00,Shoe and Leather Workers and Repairers
7319,Handicraft workers not elsewhere classified,27-1012.00,Craft Artists
7322,Printers ,51-5112.00,Printing Press Operators
7323,Print finishing and binding workers,51-5113.00,Print Binding and Finishing Workers
7422 ,Information and communications technology installers and servicers,49-2097.00,Audiovisual Equipment Installers and Repairers
7512,"Bakers, pastry-cooks and confectionery makers",51-3011.00,Bakers
7523,Woodworking-machine tool setters and operators,51-7042.00,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing"
7531,"Tailors, dressmakers, furriers and hatters",51-6052.00,"Tailors, Dressmakers, and Custom Sewers"
7534,Upholsterers and related workers,51-6093.00,Upholsterers
7536,Shoemakers and related workers,51-6041.00,Shoe and Leather Workers and Repairers
7541,Underwater divers,49-9092.00,Commercial Divers
7542,Shotfirers and blasters,47-5032.00,"Explosives Workers, Ordnance Handling Experts, and Blasters"
7543,Product graders and testers (excluding foods and beverages),51-9061.00,"Inspectors, Testers, Sorters, Samplers, and Weighers"
8132,Photographic products machine operators,51-9151.00,Photographic Process Workers and Processing Machine Operators
8151,"Fibre preparing, spinning and winding machine operators",51-6064.00,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders"
8152,Weaving and knitting machine operators,51-6063.00,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders"
8153,Sewing machine operators,51-6031.00,Sewing Machine Operators
8154,"Bleaching, dyeing and fabric cleaning machine operators",51-6061.00,Textile Bleaching and Dyeing Machine Operators and Tenders
8155,Fur and leather preparing machine operators,51-6099.00,"Textile, Apparel, and Furnishings Workers, All Other"
8156,Shoemaking and related machine operators,51-6042.00,Shoe Machine Operators and Tenders
8157,Laundry machine operators,51-6011.00,Laundry and Dry-Cleaning Workers
8159,"Textile, fur and leather products machine operators not elsewhere classified",51-6099.00,"Textile, Apparel, and Furnishings Workers, All Other"
8172,Wood processing plant operators,51-7041.00,"Sawing Machine Setters, Operators, and Tenders, Wood"
8182,Steam engine and boiler operators,51-8021.00,Stationary Engineers and Boiler Operators
8183,"Packing, bottling and labelling machine operators",51-9111.00,Packaging and Filling Machine Operators and Tenders
