O*NET-SOC Code,Title,abilities_importance_ranked,abilities_level_ranked,abilities_arm-hand_steadiness_importance,abilities_arm-hand_steadiness_level,abilities_auditory_attention_importance,abilities_auditory_attention_level,abilities_category_flexibility_importance,abilities_category_flexibility_level,abilities_control_precision_importance,abilities_control_precision_level,abilities_deductive_reasoning_importance,abilities_deductive_reasoning_level,abilities_depth_perception_importance,abilities_depth_perception_level,abilities_dynamic_flexibility_importance,abilities_dynamic_flexibility_level,abilities_dynamic_strength_importance,abilities_dynamic_strength_level,abilities_explosive_strength_importance,abilities_explosive_strength_level,abilities_extent_flexibility_importance,abilities_extent_flexibility_level,abilities_far_vision_importance,abilities_far_vision_level,abilities_finger_dexterity_importance,abilities_finger_dexterity_level,abilities_flexibility_of_closure_importance,abilities_flexibility_of_closure_level,abilities_fluency_of_ideas_importance,abilities_fluency_of_ideas_level,abilities_glare_sensitivity_importance,abilities_glare_sensitivity_level,abilities_gross_body_coordination_importance,abilities_gross_body_coordination_level,abilities_gross_body_equilibrium_importance,abilities_gross_body_equilibrium_level,abilities_hearing_sensitivity_importance,abilities_hearing_sensitivity_level,abilities_inductive_reasoning_importance,abilities_inductive_reasoning_level,abilities_information_ordering_importance,abilities_information_ordering_level,abilities_manual_dexterity_importance,abilities_manual_dexterity_level,abilities_mathematical_reasoning_importance,abilities_mathematical_reasoning_level,abilities_memorization_importance,abilities_memorization_level,abilities_multilimb_coordination_importance,abilities_multilimb_coordination_level,abilities_near_vision_importance,abilities_near_vision_level,abilities_night_vision_importance,abilities_night_vision_level,abilities_number_facility_importance,abilities_number_facility_level,abilities_oral_comprehension_importance,abilities_oral_comprehension_level,abilities_oral_expression_importance,abilities_oral_expression_level,abilities_originality_importance,abilities_originality_level,abilities_perceptual_speed_importance,abilities_perceptual_speed_level,abilities_peripheral_vision_importance,abilities_peripheral_vision_level,abilities_problem_sensitivity_importance,abilities_problem_sensitivity_level,abilities_rate_control_importance,abilities_rate_control_level,abilities_reaction_time_importance,abilities_reaction_time_level,abilities_response_orientation_importance,abilities_response_orientation_level,abilities_selective_attention_importance,abilities_selective_attention_level,abilities_sound_localization_importance,abilities_sound_localization_level,abilities_spatial_orientation_importance,abilities_spatial_orientation_level,abilities_speech_clarity_importance,abilities_speech_clarity_level,abilities_speech_recognition_importance,abilities_speech_recognition_level,abilities_speed_of_closure_importance,abilities_speed_of_closure_level,abilities_speed_of_limb_movement_importance,abilities_speed_of_limb_movement_level,abilities_stamina_importance,abilities_stamina_level,abilities_static_strength_importance,abilities_static_strength_level,abilities_time_sharing_importance,abilities_time_sharing_level,abilities_trunk_strength_importance,abilities_trunk_strength_level,abilities_visual_color_discrimination_importance,abilities_visual_color_discrimination_level,abilities_visualization_importance,abilities_visualization_level,abilities_wrist-finger_speed_importance,abilities_wrist-finger_speed_level,abilities_written_comprehension_importance,abilities_written_comprehension_level,abilities_written_expression_importance,abilities_written_expression_level
11-1011.00,Chief Executives,oral_comprehension|oral_expression|written_comprehension|speech_clarity|deductive_reasoning|written_expression|speech_recognition|problem_sensitivity|inductive_reasoning|information_ordering|fluency_of_ideas|originality|near_vision|category_flexibility|flexibility_of_closure|mathematical_reasoning|number_facility|visualization|speed_of_closure|perceptual_speed|far_vision|selective_attention|memorization|time_sharing|auditory_attention|hearing_sensitivity|visual_color_discrimination|control_precision|multilimb_coordination|depth_perception|finger_dexterity|sound_localization|trunk_strength|reaction_time|response_orientation|spatial_orientation|arm-hand_steadiness|rate_control|wrist-finger_speed|peripheral_vision|glare_sensitivity|dynamic_strength|night_vision|speed_of_limb_movement|stamina|static_strength|explosive_strength|gross_body_equilibrium|gross_body_coordination|manual_dexterity|dynamic_flexibility|extent_flexibility,oral_comprehension|problem_sensitivity|oral_expression|written_comprehension|inductive_reasoning|deductive_reasoning|speech_clarity|written_expression|fluency_of_ideas|near_vision|speech_recognition|originality|information_ordering|category_flexibility|number_facility|mathematical_reasoning|flexibility_of_closure|visualization|far_vision|memorization|selective_attention|speed_of_closure|perceptual_speed|time_sharing|auditory_attention|visual_color_discrimination|hearing_sensitivity|depth_perception|finger_dexterity|control_precision|multilimb_coordination|trunk_strength|wrist-finger_speed|spatial_orientation|arm-hand_steadiness|reaction_time|rate_control|sound_localization|response_orientation|night_vision|peripheral_vision|glare_sensitivity|dynamic_strength|gross_body_equilibrium|static_strength|speed_of_limb_movement|explosive_strength|gross_body_coordination|manual_dexterity|dynamic_flexibility|extent_flexibility|stamina,1.38,0.5,2.12,2.0,3.5,4.0,1.75,0.75,4.12,4.75,1.75,1.38,1.0,0.0,1.25,0.25,1.0,0.0,1.0,0.0,3.0,3.25,1.5,1.0,3.25,3.62,3.88,4.62,1.25,0.25,1.0,0.0,1.0,0.0,2.12,2.0,4.0,4.88,4.0,4.12,1.0,0.0,3.25,3.75,2.88,3.12,1.75,0.75,3.62,4.5,1.25,0.25,3.12,3.75,4.62,4.88,4.5,4.88,3.75,4.25,3.0,3.0,1.25,0.25,4.0,4.88,1.38,0.38,1.38,0.38,1.38,0.38,3.0,3.12,1.38,0.38,1.38,0.5,4.25,4.75,4.0,4.5,3.0,3.12,1.0,0.0,1.0,0.0,1.0,0.0,2.88,2.88,1.38,0.62,2.0,2.0,3.0,3.38,1.38,0.5,4.25,4.88,4.12,4.75
11-1011.03,Chief Sustainability Officers,written_expression|oral_comprehension|written_comprehension|speech_recognition|speech_clarity|oral_expression|originality|deductive_reasoning|inductive_reasoning|problem_sensitivity|fluency_of_ideas|information_ordering|selective_attention|near_vision|category_flexibility|flexibility_of_closure|far_vision|number_facility|mathematical_reasoning|visualization|time_sharing|speed_of_closure|memorization|perceptual_speed|visual_color_discrimination|auditory_attention|hearing_sensitivity|depth_perception|finger_dexterity|control_precision|multilimb_coordination|trunk_strength|wrist-finger_speed|gross_body_equilibrium|glare_sensitivity|peripheral_vision|night_vision|sound_localization|reaction_time|gross_body_coordination|dynamic_flexibility|extent_flexibility|stamina|dynamic_strength|explosive_strength|static_strength|speed_of_limb_movement|rate_control|manual_dexterity|arm-hand_steadiness|spatial_orientation|response_orientation,oral_expression|deductive_reasoning|oral_comprehension|written_expression|written_comprehension|fluency_of_ideas|problem_sensitivity|inductive_reasoning|originality|speech_recognition|speech_clarity|information_ordering|near_vision|category_flexibility|number_facility|selective_attention|mathematical_reasoning|flexibility_of_closure|visualization|far_vision|memorization|speed_of_closure|time_sharing|perceptual_speed|visual_color_discrimination|depth_perception|hearing_sensitivity|auditory_attention|finger_dexterity|multilimb_coordination|trunk_strength|control_precision|wrist-finger_speed|glare_sensitivity|gross_body_equilibrium|peripheral_vision|night_vision|sound_localization|static_strength|gross_body_coordination|dynamic_flexibility|extent_flexibility|stamina|dynamic_strength|explosive_strength|speed_of_limb_movement|reaction_time|rate_control|manual_dexterity|arm-hand_steadiness|spatial_orientation|response_orientation,1.0,0.0,2.0,1.75,3.12,3.5,1.5,0.5,3.88,4.75,2.0,1.75,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.88,2.75,1.75,1.38,2.88,3.0,3.88,4.12,1.0,0.0,1.0,0.0,1.0,0.0,2.0,1.75,3.88,4.12,3.62,3.75,1.0,0.0,2.75,3.0,2.38,2.75,1.5,0.5,3.12,3.62,1.0,0.0,2.88,3.0,4.0,4.62,4.0,4.75,3.88,4.0,2.25,2.12,1.0,0.0,3.88,4.12,1.0,0.0,1.0,0.0,1.0,0.0,3.12,3.0,1.0,0.0,1.0,0.0,4.0,3.75,4.0,3.88,2.38,2.62,1.0,0.0,1.0,0.0,1.0,0.0,2.62,2.38,1.38,0.5,2.12,2.0,2.75,2.88,1.12,0.12,4.0,4.25,4.12,4.38
11-1021.00,General and Operations Managers,oral_comprehension|oral_expression|written_expression|written_comprehension|problem_sensitivity|deductive_reasoning|speech_clarity|speech_recognition|inductive_reasoning|information_ordering|near_vision|category_flexibility|fluency_of_ideas|originality|mathematical_reasoning|number_facility|selective_attention|time_sharing|visualization|flexibility_of_closure|far_vision|perceptual_speed|speed_of_closure|memorization|auditory_attention|trunk_strength|depth_perception|visual_color_discrimination|hearing_sensitivity|wrist-finger_speed|arm-hand_steadiness|reaction_time|stamina|spatial_orientation|finger_dexterity|static_strength|manual_dexterity|multilimb_coordination|gross_body_coordination|gross_body_equilibrium|explosive_strength|extent_flexibility|sound_localization|peripheral_vision|dynamic_strength|control_precision|night_vision|speed_of_limb_movement|glare_sensitivity|rate_control|dynamic_flexibility|response_orientation,oral_comprehension|deductive_reasoning|oral_expression|problem_sensitivity|written_expression|written_comprehension|information_ordering|speech_clarity|inductive_reasoning|originality|speech_recognition|fluency_of_ideas|near_vision|category_flexibility|mathematical_reasoning|number_facility|selective_attention|time_sharing|far_vision|visualization|flexibility_of_closure|memorization|speed_of_closure|perceptual_speed|auditory_attention|trunk_strength|visual_color_discrimination|depth_perception|hearing_sensitivity|wrist-finger_speed|static_strength|arm-hand_steadiness|stamina|gross_body_coordination|reaction_time|spatial_orientation|multilimb_coordination|manual_dexterity|finger_dexterity|gross_body_equilibrium|explosive_strength|sound_localization|peripheral_vision|extent_flexibility|control_precision|dynamic_strength|night_vision|speed_of_limb_movement|glare_sensitivity|dynamic_flexibility|rate_control|response_orientation,1.62,0.88,2.12,2.0,3.38,3.25,1.12,0.12,3.88,4.12,1.88,1.62,1.0,0.0,1.12,0.12,1.38,0.38,1.25,0.25,2.62,2.75,1.5,0.5,2.62,2.5,3.25,3.38,1.0,0.0,1.5,0.62,1.38,0.38,1.75,1.5,3.5,3.5,3.5,3.62,1.5,0.5,2.88,3.12,2.25,2.25,1.5,0.5,3.5,3.38,1.12,0.12,2.88,3.0,4.0,4.12,4.0,4.12,3.12,3.5,2.38,2.25,1.25,0.25,3.88,4.12,1.0,0.0,1.62,0.62,1.0,0.0,2.88,2.88,1.25,0.25,1.5,0.62,3.88,3.62,3.62,3.5,2.38,2.25,1.0,0.0,1.62,0.88,1.5,0.88,2.75,2.88,2.12,1.88,1.88,1.75,2.75,2.75,1.75,0.88,4.0,4.0,4.0,4.0
11-2011.00,Advertising and Promotions Managers,oral_expression|oral_comprehension|originality|written_expression|written_comprehension|speech_clarity|speech_recognition|deductive_reasoning|inductive_reasoning|near_vision|fluency_of_ideas|problem_sensitivity|category_flexibility|information_ordering|flexibility_of_closure|far_vision|number_facility|visual_color_discrimination|visualization|perceptual_speed|mathematical_reasoning|selective_attention|time_sharing|memorization|speed_of_closure|auditory_attention|hearing_sensitivity|trunk_strength|depth_perception|wrist-finger_speed|finger_dexterity|multilimb_coordination|stamina|arm-hand_steadiness|static_strength|control_precision|manual_dexterity|gross_body_coordination|gross_body_equilibrium|explosive_strength|dynamic_strength|extent_flexibility|spatial_orientation|sound_localization|glare_sensitivity|speed_of_limb_movement|peripheral_vision|night_vision|rate_control|dynamic_flexibility|reaction_time|response_orientation,oral_expression|deductive_reasoning|fluency_of_ideas|oral_comprehension|inductive_reasoning|speech_recognition|near_vision|written_comprehension|speech_clarity|written_expression|originality|problem_sensitivity|category_flexibility|information_ordering|far_vision|mathematical_reasoning|flexibility_of_closure|visualization|number_facility|perceptual_speed|selective_attention|visual_color_discrimination|speed_of_closure|memorization|time_sharing|auditory_attention|trunk_strength|depth_perception|hearing_sensitivity|wrist-finger_speed|finger_dexterity|multilimb_coordination|static_strength|stamina|control_precision|manual_dexterity|arm-hand_steadiness|gross_body_coordination|gross_body_equilibrium|explosive_strength|dynamic_strength|extent_flexibility|sound_localization|glare_sensitivity|speed_of_limb_movement|peripheral_vision|night_vision|dynamic_flexibility|reaction_time|rate_control|spatial_orientation|response_orientation,1.38,0.38,2.0,1.25,3.12,3.62,1.38,0.38,3.75,4.38,1.75,1.0,1.0,0.0,1.12,0.12,1.12,0.12,1.12,0.12,3.0,3.12,1.62,0.62,3.0,3.0,3.75,4.25,1.0,0.0,1.25,0.25,1.25,0.25,1.88,0.88,3.75,4.0,3.0,3.62,1.38,0.38,2.75,3.12,2.62,2.38,1.38,0.5,3.75,4.0,1.0,0.0,2.88,3.0,4.0,4.0,4.12,4.5,4.0,4.0,2.75,2.88,1.0,0.0,3.62,3.88,1.0,0.0,1.0,0.0,1.0,0.0,2.75,2.88,1.0,0.0,1.0,0.0,3.88,4.0,3.75,4.0,2.62,2.75,1.0,0.0,1.38,0.38,1.38,0.38,2.62,2.12,1.88,1.0,2.88,2.88,2.88,3.0,1.62,0.75,4.0,4.0,4.0,4.0
11-2021.00,Marketing Managers,oral_expression|fluency_of_ideas|oral_comprehension|written_expression|written_comprehension|inductive_reasoning|speech_recognition|speech_clarity|deductive_reasoning|problem_sensitivity|originality|near_vision|category_flexibility|information_ordering|mathematical_reasoning|number_facility|flexibility_of_closure|selective_attention|far_vision|visualization|memorization|speed_of_closure|visual_color_discrimination|time_sharing|perceptual_speed|hearing_sensitivity|trunk_strength|auditory_attention|finger_dexterity|depth_perception|wrist-finger_speed|control_precision|manual_dexterity|arm-hand_steadiness|dynamic_strength|sound_localization|glare_sensitivity|peripheral_vision|night_vision|speed_of_limb_movement|gross_body_equilibrium|gross_body_coordination|dynamic_flexibility|extent_flexibility|stamina|explosive_strength|static_strength|reaction_time|rate_control|multilimb_coordination|spatial_orientation|response_orientation,oral_expression|written_expression|deductive_reasoning|oral_comprehension|written_comprehension|fluency_of_ideas|originality|problem_sensitivity|inductive_reasoning|speech_recognition|near_vision|speech_clarity|information_ordering|category_flexibility|mathematical_reasoning|number_facility|far_vision|flexibility_of_closure|speed_of_closure|selective_attention|visualization|memorization|time_sharing|visual_color_discrimination|perceptual_speed|auditory_attention|hearing_sensitivity|trunk_strength|finger_dexterity|wrist-finger_speed|depth_perception|control_precision|manual_dexterity|arm-hand_steadiness|dynamic_strength|glare_sensitivity|peripheral_vision|night_vision|sound_localization|explosive_strength|gross_body_equilibrium|gross_body_coordination|dynamic_flexibility|extent_flexibility|stamina|static_strength|speed_of_limb_movement|reaction_time|rate_control|multilimb_coordination|spatial_orientation|response_orientation,1.38,0.38,2.0,1.75,3.25,3.62,1.38,0.38,3.88,4.25,1.62,0.62,1.0,0.0,1.12,0.12,1.0,0.0,1.0,0.0,2.88,3.12,1.75,0.88,3.0,3.12,4.12,4.12,1.0,0.0,1.0,0.0,1.0,0.0,2.0,1.25,3.88,4.0,3.25,3.62,1.38,0.38,3.12,3.5,2.88,2.88,1.0,0.0,3.75,3.88,1.0,0.0,3.12,3.38,4.0,4.12,4.12,4.25,3.88,4.0,2.62,2.5,1.0,0.0,3.88,4.0,1.0,0.0,1.0,0.0,1.0,0.0,2.88,3.0,1.0,0.0,1.0,0.0,3.88,3.88,3.88,4.0,2.88,3.0,1.0,0.0,1.0,0.0,1.0,0.0,2.75,2.75,2.0,1.12,2.75,2.75,2.88,3.0,1.62,0.75,4.0,4.12,4.0,4.25
11-2022.00,Sales Managers,oral_comprehension|oral_expression|written_expression|written_comprehension|inductive_reasoning|problem_sensitivity|deductive_reasoning|speech_recognition|speech_clarity|fluency_of_ideas|originality|category_flexibility|information_ordering|near_vision|mathematical_reasoning|number_facility|memorization|speed_of_closure|flexibility_of_closure|far_vision|selective_attention|time_sharing|perceptual_speed|visualization|visual_color_discrimination|auditory_attention|trunk_strength|hearing_sensitivity|wrist-finger_speed|depth_perception|finger_dexterity|spatial_orientation|manual_dexterity|control_precision|multilimb_coordination|arm-hand_steadiness|glare_sensitivity|sound_localization|peripheral_vision|night_vision|speed_of_limb_movement|gross_body_equilibrium|gross_body_coordination|dynamic_flexibility|extent_flexibility|stamina|dynamic_strength|explosive_strength|static_strength|reaction_time|rate_control|response_orientation,oral_comprehension|speech_recognition|deductive_reasoning|written_comprehension|inductive_reasoning|speech_clarity|oral_expression|written_expression|originality|problem_sensitivity|fluency_of_ideas|mathematical_reasoning|category_flexibility|number_facility|near_vision|memorization|speed_of_closure|information_ordering|flexibility_of_closure|far_vision|selective_attention|visualization|perceptual_speed|time_sharing|auditory_attention|visual_color_discrimination|trunk_strength|hearing_sensitivity|wrist-finger_speed|spatial_orientation|depth_perception|finger_dexterity|control_precision|manual_dexterity|multilimb_coordination|arm-hand_steadiness|sound_localization|glare_sensitivity|peripheral_vision|night_vision|reaction_time|speed_of_limb_movement|gross_body_equilibrium|gross_body_coordination|dynamic_flexibility|extent_flexibility|stamina|rate_control|dynamic_strength|explosive_strength|static_strength|response_orientation,1.12,0.12,1.88,1.62,3.25,3.62,1.38,0.38,3.88,4.0,1.5,0.5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.75,2.75,1.5,0.5,2.88,2.88,3.75,3.88,1.0,0.0,1.0,0.0,1.0,0.0,1.62,1.0,3.88,4.0,3.12,3.0,1.38,0.38,2.88,3.75,2.88,3.0,1.25,0.25,3.12,3.38,1.0,0.0,2.88,3.62,4.0,4.38,4.0,4.0,3.75,3.88,2.62,2.25,1.0,0.0,3.88,3.88,1.0,0.0,1.0,0.0,1.0,0.0,2.75,2.75,1.0,0.0,1.5,0.62,3.75,4.0,3.75,4.12,2.88,3.0,1.0,0.0,1.0,0.0,1.0,0.0,2.62,2.12,1.88,1.25,2.0,1.62,2.25,2.5,1.62,0.62,4.0,4.0,4.0,4.0
11-2032.00,Public Relations Managers,oral_expression|oral_comprehension|written_expression|written_comprehension|problem_sensitivity|speech_recognition|speech_clarity|fluency_of_ideas|originality|deductive_reasoning|inductive_reasoning|near_vision|category_flexibility|information_ordering|selective_attention|flexibility_of_closure|speed_of_closure|far_vision|perceptual_speed|visualization|mathematical_reasoning|time_sharing|memorization|number_facility|visual_color_discrimination|auditory_attention|hearing_sensitivity|trunk_strength|wrist-finger_speed|depth_perception|finger_dexterity|reaction_time|speed_of_limb_movement|sound_localization|arm-hand_steadiness|manual_dexterity|control_precision|multilimb_coordination|rate_control|dynamic_strength|response_orientation|gross_body_coordination|gross_body_equilibrium|dynamic_flexibility|extent_flexibility|stamina|night_vision|peripheral_vision|glare_sensitivity|explosive_strength|static_strength|spatial_orientation,oral_expression|oral_comprehension|fluency_of_ideas|written_comprehension|deductive_reasoning|written_expression|speech_recognition|inductive_reasoning|speech_clarity|problem_sensitivity|originality|near_vision|category_flexibility|information_ordering|far_vision|speed_of_closure|flexibility_of_closure|memorization|selective_attention|number_facility|perceptual_speed|time_sharing|visualization|visual_color_discrimination|mathematical_reasoning|auditory_attention|hearing_sensitivity|trunk_strength|wrist-finger_speed|depth_perception|finger_dexterity|dynamic_strength|sound_localization|speed_of_limb_movement|response_orientation|arm-hand_steadiness|manual_dexterity|control_precision|reaction_time|rate_control|multilimb_coordination|peripheral_vision|spatial_orientation|glare_sensitivity|explosive_strength|stamina|static_strength|gross_body_equilibrium|gross_body_coordination|dynamic_flexibility|extent_flexibility|night_vision,1.12,0.25,2.0,1.75,3.25,3.38,1.12,0.25,3.75,4.0,1.62,0.75,1.0,0.0,1.12,0.25,1.0,0.0,1.0,0.0,2.88,3.12,1.25,0.5,2.88,2.75,4.0,4.12,1.0,0.0,1.0,0.0,1.0,0.0,1.88,1.62,3.5,3.75,3.25,3.25,1.12,0.25,2.5,2.25,2.5,2.62,1.12,0.25,3.38,3.5,1.0,0.0,2.5,2.62,4.25,4.25,4.38,4.5,3.88,3.75,2.75,2.5,1.0,0.0,4.0,3.75,1.12,0.25,1.12,0.25,1.12,0.25,3.0,2.62,1.12,0.25,1.0,0.0,4.0,3.75,4.0,3.88,2.88,3.0,1.12,0.25,1.0,0.0,1.0,0.0,2.5,2.5,1.88,1.5,2.25,2.38,2.5,2.5,1.75,0.88,4.25,4.0,4.25,3.88
11-2033.00,Fundraising Managers,oral_comprehension|oral_expression|deductive_reasoning|written_comprehension|speech_clarity|written_expression|speech_recognition|fluency_of_ideas|originality|information_ordering|inductive_reasoning|problem_sensitivity|near_vision|selective_attention|category_flexibility|number_facility|mathematical_reasoning|time_sharing|far_vision|memorization|speed_of_closure|flexibility_of_closure|trunk_strength|auditory_attention|visualization|visual_color_discrimination|wrist-finger_speed|perceptual_speed|hearing_sensitivity|dynamic_strength|sound_localization|spatial_orientation|control_precision|finger_dexterity|manual_dexterity|glare_sensitivity|depth_perception|peripheral_vision|night_vision|reaction_time|gross_body_equilibrium|gross_body_coordination|dynamic_flexibility|extent_flexibility|stamina|explosive_strength|static_strength|speed_of_limb_movement|rate_control|multilimb_coordination|arm-hand_steadiness|response_orientation,written_expression|oral_expression|oral_comprehension|deductive_reasoning|written_comprehension|fluency_of_ideas|near_vision|speech_clarity|originality|speech_recognition|problem_sensitivity|inductive_reasoning|mathematical_reasoning|information_ordering|category_flexibility|number_facility|far_vision|memorization|selective_attention|time_sharing|flexibility_of_closure|speed_of_closure|perceptual_speed|visual_color_discrimination|auditory_attention|visualization|trunk_strength|hearing_sensitivity|wrist-finger_speed|dynamic_strength|sound_localization|spatial_orientation|control_precision|manual_dexterity|finger_dexterity|depth_perception|glare_sensitivity|peripheral_vision|night_vision|speed_of_limb_movement|gross_body_equilibrium|gross_body_coordination|dynamic_flexibility|extent_flexibility|stamina|explosive_strength|static_strength|reaction_time|rate_control|multilimb_coordination|arm-hand_steadiness|response_orientation,1.0,0.0,2.25,2.0,3.0,3.12,1.12,0.12,3.88,4.12,1.0,0.0,1.0,0.0,1.75,0.75,1.0,0.0,1.0,0.0,2.75,3.0,1.12,0.12,2.5,2.25,3.62,4.0,1.0,0.0,1.0,0.0,1.0,0.0,1.88,1.38,3.38,3.25,3.5,3.25,1.12,0.12,2.88,3.25,2.62,2.62,1.0,0.0,3.38,3.88,1.0,0.0,3.0,3.12,4.12,4.12,4.12,4.25,3.5,3.88,2.12,2.12,1.0,0.0,3.38,3.62,1.0,0.0,1.0,0.0,1.0,0.0,3.0,2.38,1.25,0.38,1.25,0.25,3.88,3.88,3.75,3.75,2.5,2.25,1.0,0.0,1.0,0.0,1.0,0.0,2.88,2.38,2.38,1.62,2.12,2.0,2.12,2.0,2.12,1.25,3.88,4.12,3.88,4.38
11-3012.00,Administrative Services Managers,oral_comprehension|oral_expression|written_comprehension|written_expression|deductive_reasoning|speech_recognition|near_vision|speech_clarity|inductive_reasoning|problem_sensitivity|category_flexibility|information_ordering|time_sharing|selective_attention|fluency_of_ideas|originality|visualization|flexibility_of_closure|far_vision|perceptual_speed|number_facility|memorization|mathematical_reasoning|finger_dexterity|auditory_attention|speed_of_closure|arm-hand_steadiness|hearing_sensitivity|manual_dexterity|depth_perception|visual_color_discrimination|control_precision|trunk_strength|multilimb_coordination|rate_control|static_strength|sound_localization|glare_sensitivity|peripheral_vision|night_vision|response_orientation|gross_body_equilibrium|gross_body_coordination|extent_flexibility|dynamic_strength|explosive_strength|reaction_time|spatial_orientation|stamina|wrist-finger_speed|dynamic_flexibility|speed_of_limb_movement,oral_comprehension|written_comprehension|oral_expression|written_expression|deductive_reasoning|problem_sensitivity|speech_recognition|near_vision|speech_clarity|inductive_reasoning|fluency_of_ideas|originality|category_flexibility|information_ordering|selective_attention|time_sharing|visualization|far_vision|number_facility|speed_of_closure|memorization|mathematical_reasoning|flexibility_of_closure|perceptual_speed|auditory_attention|finger_dexterity|hearing_sensitivity|visual_color_discrimination|arm-hand_steadiness|control_precision|depth_perception|manual_dexterity|trunk_strength|static_strength|multilimb_coordination|rate_control|reaction_time|sound_localization|explosive_strength|dynamic_strength|extent_flexibility|peripheral_vision|glare_sensitivity|response_orientation|night_vision|gross_body_equilibrium|gross_body_coordination|stamina|spatial_orientation|wrist-finger_speed|dynamic_flexibility|speed_of_limb_movement,2.12,2.0,2.25,2.25,3.12,3.12,2.0,1.75,3.62,3.88,2.0,1.62,1.0,0.0,1.5,0.75,1.5,0.75,1.5,0.75,2.75,2.75,2.5,2.12,2.88,2.38,3.12,3.12,1.5,0.62,1.5,0.62,1.5,0.62,2.12,2.12,3.5,3.38,3.12,3.12,2.0,1.62,2.62,2.5,2.62,2.62,1.62,1.0,3.62,3.62,1.5,0.62,2.75,2.75,4.0,4.0,4.0,4.0,3.0,3.12,2.75,2.38,1.5,0.62,3.5,3.75,1.62,0.88,1.5,0.88,1.5,0.62,3.12,3.0,1.5,0.75,1.5,0.5,3.62,3.5,3.62,3.62,2.12,2.62,1.0,0.0,1.38,0.5,1.62,1.0,3.12,2.88,1.75,1.25,2.0,2.0,2.88,2.75,1.25,0.38,4.0,4.0,3.88,4.0
11-3013.00,Facilities Managers,oral_comprehension|written_comprehension|oral_expression|problem_sensitivity|information_ordering|written_expression|speech_recognition|deductive_reasoning|inductive_reasoning|near_vision|speech_clarity|far_vision|category_flexibility|selective_attention|fluency_of_ideas|flexibility_of_closure|originality|mathematical_reasoning|perceptual_speed|visualization|number_facility|time_sharing|arm-hand_steadiness|trunk_strength|manual_dexterity|speed_of_closure|memorization|spatial_orientation|visual_color_discrimination|depth_perception|auditory_attention|control_precision|finger_dexterity|extent_flexibility|hearing_sensitivity|wrist-finger_speed|peripheral_vision|stamina|multilimb_coordination|static_strength|reaction_time|response_orientation|gross_body_equilibrium|gross_body_coordination|dynamic_strength|explosive_strength|rate_control|night_vision|glare_sensitivity|sound_localization|dynamic_flexibility|speed_of_limb_movement,written_comprehension|oral_comprehension|oral_expression|written_expression|deductive_reasoning|problem_sensitivity|inductive_reasoning|information_ordering|speech_recognition|speech_clarity|near_vision|category_flexibility|flexibility_of_closure|fluency_of_ideas|far_vision|originality|memorization|perceptual_speed|visualization|selective_attention|time_sharing|number_facility|mathematical_reasoning|auditory_attention|arm-hand_steadiness|control_precision|trunk_strength|spatial_orientation|speed_of_closure|finger_dexterity|manual_dexterity|visual_color_discrimination|extent_flexibility|response_orientation|depth_perception|wrist-finger_speed|reaction_time|multilimb_coordination|hearing_sensitivity|stamina|peripheral_vision|static_strength|rate_control|dynamic_strength|gross_body_coordination|gross_body_equilibrium|glare_sensitivity|explosive_strength|night_vision|sound_localization|speed_of_limb_movement|dynamic_flexibility,2.62,2.5,2.38,2.5,3.12,3.25,2.38,2.5,3.62,3.88,2.38,2.12,1.25,0.25,1.88,1.5,1.88,1.25,2.25,2.25,3.12,3.0,2.38,2.38,2.88,3.25,2.88,3.12,1.75,1.25,1.88,1.5,1.88,1.38,2.12,2.0,3.62,3.75,3.75,3.62,2.5,2.38,2.75,2.62,2.5,2.75,2.12,2.0,3.5,3.5,1.75,1.25,2.62,2.62,3.75,3.88,3.75,3.88,2.75,3.0,2.75,2.75,2.12,1.88,3.75,3.75,1.88,1.5,2.0,2.12,2.0,2.25,2.88,2.75,1.75,1.12,2.5,2.5,3.5,3.62,3.62,3.62,2.5,2.5,1.12,0.25,2.12,1.88,2.0,1.75,2.62,2.75,2.62,2.5,2.38,2.38,2.62,2.75,2.12,2.12,3.75,4.0,3.62,3.88
