ONET_SOC_CODE,Title,education_required_level_ranked,education_importance_ranked,education_required_quantity_ranked,education_category_10_required_level_value,education_category_10_required_quantity_value,education_category_11_required_level_value,education_category_11_required_quantity_value,education_category_12_required_level_value,education_category_12_required_quantity_value,education_category_1_required_level_value,education_category_1_required_quantity_value,education_category_2_required_level_value,education_category_2_required_quantity_value,education_category_3_required_level_value,education_category_3_required_quantity_value,education_category_4_required_level_value,education_category_4_required_quantity_value,education_category_5_required_level_value,education_category_5_required_quantity_value,education_category_6_required_level_value,education_category_6_required_quantity_value,education_category_7_required_level_value,education_category_7_required_quantity_value,education_category_8_required_level_value,education_category_8_required_quantity_value,education_category_9_required_level_value,education_category_9_required_quantity_value
11-1011.00,Chief Executives,category_8|category_6|category_5|category_11|category_2,,,0.55,,4.92,,2.78,,0.0,,4.46,,0.0,,0.0,,5.15,,32.29,,0.0,,45.91,,3.94,
11-1011.03,Chief Sustainability Officers,category_8|category_6|category_9|category_1|category_2,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,18.52,,0.0,,74.07,,7.41,
11-1021.00,General and Operations Managers,category_2|category_6|category_4|category_1|category_5,,,0.0,,0.0,,0.0,,10.35,,28.76,,5.72,,21.59,,5.99,,27.3,,0.14,,0.15,,0.0,
11-2011.00,Advertising and Promotions Managers,,,category_6|category_2|category_4|category_8|category_1,,0.0,,0.0,,0.0,,0.0,,25.68,,0.0,,1.21,,0.0,,72.87,,0.0,,0.24,,0.0
11-2021.00,Marketing Managers,,,category_6|category_2|category_8|category_4|category_5,,0.0,,0.0,,0.0,,0.0,,11.77,,0.0,,2.54,,0.09,,80.08,,0.0,,5.52,,0.0
11-2022.00,Sales Managers,category_6|category_4|category_5|category_8|category_1,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,19.05,,4.76,,71.43,,0.0,,4.76,,0.0,
11-2032.00,Public Relations Managers,,,category_6|category_8|category_5|category_1|category_2,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,2.78,,83.33,,0.0,,13.89,,0.0
11-2033.00,Fundraising Managers,category_6|category_4|category_8|category_5|category_1,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,19.65,,3.93,,65.49,,0.0,,10.93,,0.0,
11-3012.00,Administrative Services Managers,category_2|category_6|category_4|category_3|category_5,,,0.0,,0.06,,0.0,,0.0,,33.56,,13.16,,13.18,,11.84,,24.28,,0.0,,3.87,,0.06,
11-3013.00,Facilities Managers,category_5|category_2|category_4|category_3|category_6,,,0.0,,0.0,,0.0,,0.0,,14.59,,9.36,,11.3,,57.34,,7.06,,0.18,,0.18,,0.0,
11-3013.01,Security Managers,category_6|category_8|category_5|category_3|category_1,,,0.0,,0.0,,0.0,,0.0,,0.0,,5.0,,0.0,,10.0,,70.0,,0.0,,15.0,,0.0,
11-3021.00,Computer and Information Systems Managers,category_6|category_4|category_8|category_3|category_7,,,0.0,,0.0,,0.0,,0.0,,1.26,,5.77,,25.96,,2.16,,47.68,,2.8,,14.36,,0.0,
11-3031.00,Financial Managers,category_6|category_7|category_2|category_4|category_5,,,0.0,,0.0,,0.0,,0.0,,14.24,,0.0,,4.56,,3.9,,56.31,,21.0,,0.0,,0.0,
