ONET_SOC_CODE,title,essential_skills_importance_ranked,essential_skills_level_ranked,essential_skills_reading_comprehension_importance,essential_skills_reading_comprehension_level,essential_skills_active_listening_importance,essential_skills_active_listening_level,essential_skills_writing_importance,essential_skills_writing_level,essential_skills_speaking_importance,essential_skills_speaking_level,essential_skills_mathematics_importance,essential_skills_mathematics_level,essential_skills_science_importance,essential_skills_science_level,essential_skills_critical_thinking_importance,essential_skills_critical_thinking_level,essential_skills_active_learning_importance,essential_skills_active_learning_level,essential_skills_learning_strategies_importance,essential_skills_learning_strategies_level,essential_skills_monitoring_importance,essential_skills_monitoring_level
11-1011.00,Chief Executives,critical_thinking|speaking|reading_comprehension|writing|active_listening|monitoring|active_learning|mathematics|learning_strategies|science,monitoring|active_listening|speaking|critical_thinking|reading_comprehension|active_learning|writing|learning_strategies|mathematics|science,4.12,4.62,4.0,4.75,4.12,4.38,4.25,4.75,3.25,3.5,1.62,0.75,4.38,4.75,3.75,4.5,3.12,3.75,4.0,5.25
11-1011.03,Chief Sustainability Officers,writing|critical_thinking|reading_comprehension|active_listening|speaking|active_learning|monitoring|learning_strategies|mathematics|science,reading_comprehension|writing|speaking|critical_thinking|active_listening|monitoring|active_learning|learning_strategies|mathematics|science,4.0,4.25,4.0,4.0,4.12,4.25,4.0,4.12,2.88,3.12,2.12,1.88,4.12,4.12,3.75,3.88,3.38,3.75,3.75,4.0
11-1021.00,General and Operations Managers,reading_comprehension|active_listening|speaking|monitoring|critical_thinking|active_learning|writing|learning_strategies|mathematics|science,active_listening|speaking|monitoring|reading_comprehension|writing|critical_thinking|active_learning|learning_strategies|mathematics|science,4.0,4.0,4.0,4.12,3.5,3.88,4.0,4.12,2.62,2.75,1.5,0.62,3.88,3.88,3.62,3.75,3.0,3.12,4.0,4.12
11-2011.00,Advertising and Promotions Managers,active_listening|speaking|critical_thinking|reading_comprehension|writing|monitoring|active_learning|learning_strategies|mathematics|science,active_listening|speaking|critical_thinking|active_learning|monitoring|reading_comprehension|writing|learning_strategies|mathematics|science,3.75,4.0,4.12,4.12,3.75,4.0,4.12,4.12,2.88,3.0,1.5,0.5,3.88,4.12,3.38,4.12,3.0,3.12,3.5,4.12
11-2021.00,Marketing Managers,active_listening|speaking|reading_comprehension|critical_thinking|active_learning|monitoring|writing|learning_strategies|mathematics|science,reading_comprehension|active_listening|speaking|critical_thinking|active_learning|monitoring|writing|learning_strategies|mathematics|science,3.88,4.12,4.12,4.12,3.25,3.88,4.0,4.12,3.0,3.0,1.75,1.25,3.88,4.12,3.88,4.12,3.25,3.5,3.88,4.12
11-2022.00,Sales Managers,active_listening|speaking|reading_comprehension|critical_thinking|monitoring|active_learning|writing|learning_strategies|mathematics|science,monitoring|reading_comprehension|active_listening|writing|speaking|critical_thinking|active_learning|learning_strategies|mathematics|science,3.88,4.0,4.0,4.0,3.62,4.0,4.0,4.0,3.0,3.12,1.62,0.62,3.88,4.0,3.75,3.88,3.12,3.62,3.88,4.62
11-2032.00,Public Relations Managers,speaking|reading_comprehension|active_listening|writing|critical_thinking|active_learning|monitoring|learning_strategies|mathematics|science,reading_comprehension|active_listening|speaking|writing|critical_thinking|monitoring|active_learning|learning_strategies|mathematics|science,4.12,4.12,4.12,4.12,4.0,3.88,4.25,4.0,2.38,2.25,1.12,0.25,3.88,3.88,3.62,3.5,3.0,3.25,3.5,3.62
11-2033.00,Fundraising Managers,speaking|critical_thinking|active_listening|reading_comprehension|writing|active_learning|monitoring|mathematics|learning_strategies|science,active_listening|writing|reading_comprehension|speaking|critical_thinking|monitoring|active_learning|mathematics|learning_strategies|science,3.88,3.88,4.0,4.0,3.88,4.0,4.12,3.88,3.0,2.75,1.25,0.25,4.12,3.88,3.38,3.62,2.62,2.75,3.12,3.88
11-3012.00,Administrative Services Managers,reading_comprehension|active_listening|speaking|writing|critical_thinking|monitoring|active_learning|learning_strategies|mathematics|science,reading_comprehension|active_listening|speaking|critical_thinking|writing|monitoring|active_learning|learning_strategies|mathematics|science,4.0,4.0,4.0,4.0,3.75,3.75,3.88,3.88,2.25,2.12,1.0,0.0,3.75,3.88,3.12,3.38,3.0,3.25,3.38,3.62
11-3013.00,Facilities Managers,speaking|reading_comprehension|active_listening|critical_thinking|monitoring|writing|active_learning|learning_strategies|mathematics|science,reading_comprehension|monitoring|active_listening|writing|speaking|critical_thinking|learning_strategies|active_learning|mathematics|science,3.75,3.88,3.75,3.75,3.25,3.75,3.88,3.75,2.75,2.75,1.5,0.75,3.75,3.75,3.12,3.12,3.0,3.25,3.75,3.88
