ONET_SOC_CODE,Title,training_and_experience_work_experience_ranked,training_and_experience_on_site_training_ranked,training_and_experience_on_the_job_training_ranked,training_and_experience_importance_category_value,training_and_experience_on_site_training_category_1,training_and_experience_on_site_training_category_2,training_and_experience_on_site_training_category_3,training_and_experience_on_site_training_category_4,training_and_experience_on_site_training_category_5,training_and_experience_on_site_training_category_6,training_and_experience_on_site_training_category_7,training_and_experience_on_site_training_category_8,training_and_experience_on_site_training_category_9,training_and_experience_on_the_job_training_category_1,training_and_experience_on_the_job_training_category_2,training_and_experience_on_the_job_training_category_3,training_and_experience_on_the_job_training_category_4,training_and_experience_on_the_job_training_category_5,training_and_experience_on_the_job_training_category_6,training_and_experience_on_the_job_training_category_7,training_and_experience_on_the_job_training_category_8,training_and_experience_on_the_job_training_category_9,training_and_experience_work_experience_category_1,training_and_experience_work_experience_category_10,training_and_experience_work_experience_category_11,training_and_experience_work_experience_category_2,training_and_experience_work_experience_category_3,training_and_experience_work_experience_category_4,training_and_experience_work_experience_category_5,training_and_experience_work_experience_category_6,training_and_experience_work_experience_category_7,training_and_experience_work_experience_category_8,training_and_experience_work_experience_category_9
11-1011.00,Chief Executives,category_11|category_9|category_7|category_8|category_10,category_9|category_5|category_8|category_1|category_4,category_9|category_4|category_8|category_5|category_2,2.2,10.22,3.82,5.15,6.66,16.79,0.52,6.62,15.92,34.32,4.57,8.5,5.31,13.38,9.67,4.6,6.68,12.03,35.25,0.0,1.11,68.24,0.0,0.0,0.0,0.0,0.0,9.69,5.87,15.09
11-1011.03,Chief Sustainability Officers,category_8|category_9|category_11|category_7|category_10,category_1|category_2|category_3|category_4|category_5,category_1|category_4|category_2|category_3|category_5,1.81,40.74,22.22,7.41,7.41,7.41,0.0,7.41,0.0,7.41,25.93,18.52,11.11,22.22,7.41,7.41,0.0,3.7,3.7,0.0,11.11,14.81,0.0,0.0,0.0,0.0,3.7,11.11,40.74,18.52
11-1021.00,General and Operations Managers,category_8|category_7|category_11|category_5|category_1,category_7|category_5|category_3|category_6|category_1,category_7|category_3|category_2|category_5|category_4,2.33,10.96,8.14,18.09,0.35,18.11,15.09,25.62,3.47,0.17,3.47,14.53,16.13,10.54,11.56,8.3,26.08,9.21,0.17,10.35,0.14,17.93,1.5,0.22,2.03,15.26,3.66,18.97,24.23,5.72
11-2011.00,Advertising and Promotions Managers,category_7|category_8|category_9|category_3|category_5,category_3|category_4|category_7|category_5|category_9,category_4|category_3|category_5|category_8|category_2,2.47,1.45,3.25,33.06,19.44,15.29,0.0,15.47,0.0,12.04,1.21,5.13,31.42,33.27,16.93,0.0,0.0,12.04,0.0,0.0,0.0,0.0,0.0,12.04,0.0,1.6,0.0,37.57,33.26,15.53
11-2021.00,Marketing Managers,category_6|category_9|category_7|category_8|category_3,category_3|category_2|category_5|category_4|category_6,category_1|category_2|category_3|category_4|category_5,1.3,5.12,22.29,43.34,7.31,8.98,5.53,2.99,4.45,0.0,26.93,17.86,16.74,16.2,10.06,0.31,7.44,4.45,0.0,3.95,0.31,3.25,0.0,7.82,0.0,0.36,27.28,18.94,11.47,26.62
11-2022.00,Sales Managers,category_8|category_7|category_9|category_10|category_6,category_2|category_3|category_6|category_4|category_1,category_2|category_3|category_5|category_4|category_6,1.48,5.0,30.0,25.0,10.0,5.0,15.0,5.0,5.0,0.0,0.0,28.57,28.57,9.52,23.81,4.76,0.0,4.76,0.0,0.0,9.52,4.76,0.0,0.0,0.0,0.0,4.76,23.81,38.1,19.05
11-2032.00,Public Relations Managers,category_8|category_9|category_6|category_7|category_5,category_1|category_3|category_2|category_7|category_5,category_2|category_5|category_1|category_3|category_4,2.5,31.43,20.0,22.86,0.0,5.71,5.71,11.43,2.86,0.0,16.67,22.22,13.89,11.11,22.22,11.11,2.78,0.0,0.0,0.0,2.78,0.0,0.0,0.0,2.78,8.33,13.89,11.11,44.44,16.67
11-2033.00,Fundraising Managers,category_7|category_11|category_9|category_5|category_6,category_2|category_6|category_5|category_4|category_1,category_3|category_4|category_5|category_7|category_1,1.18,6.3,45.3,0.0,7.04,12.09,21.07,2.29,5.91,0.0,2.37,0.29,42.72,32.69,16.02,0.0,5.91,0.0,0.0,0.0,0.08,25.56,0.0,0.0,0.0,3.93,3.93,55.32,1.88,9.3
11-3012.00,Administrative Services Managers,category_7|category_6|category_8|category_9|category_10,category_3|category_5|category_2|category_1|category_4,category_3|category_2|category_4|category_5|category_6,,13.82,14.5,34.62,13.03,17.86,3.39,1.38,1.41,0.0,1.13,15.92,48.28,15.8,11.87,6.88,0.12,0.0,0.0,3.21,5.02,0.89,0.0,0.0,2.52,1.67,26.78,31.24,21.73,6.92
11-3013.00,Facilities Managers,category_7|category_10|category_8|category_6|category_1,category_3|category_4|category_2|category_8|category_7,category_3|category_5|category_4|category_8|category_1,2.36,5.23,15.46,26.16,18.28,8.94,0.41,11.12,14.42,0.0,6.26,4.84,24.48,17.47,22.3,3.11,4.61,16.94,0.0,2.13,22.31,0.41,0.0,0.0,0.0,0.0,3.52,49.01,21.74,0.87
11-3013.01,Security Managers,category_8|category_9|category_10|category_11|category_5,category_2|category_3|category_4|category_6|category_8,category_3|category_5|category_2|category_7|category_4,1.8,0.0,25.0,25.0,20.0,5.0,15.0,0.0,10.0,0.0,5.0,15.0,20.0,10.0,20.0,5.0,15.0,10.0,0.0,0.0,15.0,15.0,0.0,0.0,0.0,5.0,0.0,5.0,45.0,15.0
11-3021.00,Computer and Information Systems Managers,category_9|category_8|category_11|category_7|category_10,category_2|category_5|category_1|category_6|category_4,category_5|category_3|category_4|category_2|category_6,,16.82,31.64,5.33,6.9,23.0,9.72,0.0,6.58,0.0,0.76,15.17,24.43,23.48,32.63,3.53,0.0,0.0,0.0,0.0,10.55,13.25,0.0,0.0,0.0,0.0,1.08,11.15,23.94,40.02
11-3031.00,Financial Managers,category_8|category_6|category_9|category_1|category_7,category_1|category_2|category_3|category_6|category_4,category_4|category_3|category_2|category_5|category_1,1.45,34.21,28.55,12.7,7.67,0.0,11.24,0.87,4.75,0.0,2.29,21.0,21.12,39.56,16.03,0.0,0.0,0.0,0.0,9.76,1.48,0.89,0.0,0.0,0.0,3.9,22.48,7.75,41.91,11.83
11-3031.01,Treasurers and Controllers,category_11|category_7|category_9|category_10|category_8,category_1|category_2|category_3|category_4|category_5,category_2|category_3|category_1|category_4|category_5,1.42,20.0,20.0,16.0,12.0,8.0,4.0,4.0,8.0,8.0,13.04,21.74,21.74,13.04,13.04,0.0,4.35,0.0,13.04,0.0,12.0,48.0,0.0,0.0,0.0,0.0,0.0,16.0,8.0,16.0
11-3031.03,Investment Fund Managers,category_10|category_11|category_8|category_9|category_6,category_1|category_5|category_2|category_3|category_6,category_5|category_6|category_1|category_2|category_4,,27.75,14.84,13.11,9.18,14.96,10.58,6.07,0.0,3.52,16.19,13.53,0.0,9.47,28.63,20.1,8.51,1.54,2.04,0.0,28.36,27.4,0.0,0.0,0.0,0.0,1.51,1.51,24.86,16.35
11-3051.00,Industrial Production Managers,category_6|category_8|category_11|category_7|category_9,category_3|category_6|category_2|category_5|category_4,category_5|category_3|category_2|category_4|category_6,2.21,10.41,15.3,17.3,11.06,14.28,16.13,4.8,5.25,5.45,5.85,14.58,17.11,12.34,26.73,9.53,3.71,4.98,5.17,7.5,1.22,13.16,0.0,0.0,2.48,3.06,28.44,12.95,21.21,9.97
11-3051.01,Quality Control Systems Managers,category_8|category_11|category_7|category_9|category_10,category_2|category_7|category_3|category_5|category_8,category_3|category_4|category_7|category_5|category_1,2.01,2.75,32.71,16.81,4.42,9.82,0.91,24.52,8.05,0.0,5.52,2.75,36.81,19.67,8.13,4.93,19.67,2.53,0.0,0.0,2.53,36.9,0.0,0.0,0.0,0.0,0.0,10.63,41.89,8.05
11-3051.02,Geothermal Production Managers,category_11|category_8|category_7|category_9|category_5,category_8|category_5|category_6|category_3|category_4,category_5|category_8|category_6|category_7|category_3,,2.61,0.0,9.56,7.19,23.73,18.48,2.61,30.16,5.66,2.61,0.0,6.81,2.61,30.54,16.33,15.02,20.43,5.66,0.0,0.0,41.82,0.0,0.0,0.0,11.46,0.0,14.67,19.57,12.48
11-3051.03,Biofuels Production Managers,category_7|category_8|category_6|category_1|category_5,category_5|category_4|category_2|category_3|category_7,category_5|category_3|category_4|category_7|category_6,,0.0,12.7,11.06,27.19,37.32,0.0,6.73,5.0,0.0,0.0,9.83,18.29,16.13,26.25,11.17,13.33,5.0,0.0,12.69,2.87,0.0,0.0,0.0,0.0,4.46,17.76,34.62,27.59,0.0
11-3051.04,Biomass Power Plant Managers,category_11|category_8|category_10|category_9|category_6,category_4|category_8|category_2|category_5|category_7,category_5|category_4|category_9|category_2|category_1,2.57,1.76,16.55,0.0,28.49,16.39,0.9,6.83,28.21,0.88,13.65,16.55,0.0,17.18,23.72,4.35,6.83,0.97,16.74,0.0,13.65,40.89,0.0,0.0,0.0,0.0,9.56,5.24,18.23,12.43
11-3051.06,Hydroelectric Production Managers,category_8|category_9|category_11|category_6|category_10,category_7|category_6|category_8|category_4|category_5,category_4|category_8|category_6|category_7|category_5,,4.48,8.7,10.27,11.68,10.61,16.04,26.46,11.76,0.0,0.0,0.0,11.46,18.56,14.5,18.02,15.03,18.56,3.87,3.03,8.28,14.63,0.0,0.0,0.0,2.97,10.24,7.99,29.66,23.2
11-3061.00,Purchasing Managers,category_7|category_6|category_8|category_9|category_10,category_2|category_4|category_6|category_7|category_1,category_5|category_6|category_2|category_4|category_3,1.58,10.53,21.05,0.0,21.05,10.53,15.79,15.79,0.0,5.26,5.26,15.79,10.53,15.79,21.05,21.05,10.53,0.0,0.0,0.0,10.53,10.53,0.0,0.0,5.26,5.26,15.79,31.58,10.53,10.53
