O*NET-SOC Code,Title,specific_interest_areas_ranked,specific_interest_areas_ds_accounting_value,specific_interest_areas_ds_agriculture_value,specific_interest_areas_ds_animal_service_value,specific_interest_areas_ds_applied_arts_and_design_value,specific_interest_areas_ds_athletics_value,specific_interest_areas_ds_business_initiatives_value,specific_interest_areas_ds_construction_woodwork_value,specific_interest_areas_ds_creative_writing_value,specific_interest_areas_ds_culinary_art_value,specific_interest_areas_ds_engineering_value,specific_interest_areas_ds_finance_value,specific_interest_areas_ds_health_care_service_value,specific_interest_areas_ds_human_resources_value,specific_interest_areas_ds_humanities_value,specific_interest_areas_ds_information_technology_value,specific_interest_areas_ds_law_value,specific_interest_areas_ds_life_science_value,specific_interest_areas_ds_management_administration_value,specific_interest_areas_ds_marketing_advertising_value,specific_interest_areas_ds_mathematics_statistics_value,specific_interest_areas_ds_mechanics_electronics_value,specific_interest_areas_ds_media_value,specific_interest_areas_ds_medical_science_value,specific_interest_areas_ds_music_value,specific_interest_areas_ds_nature_outdoors_value,specific_interest_areas_ds_office_work_value,specific_interest_areas_ds_performing_arts_value,specific_interest_areas_ds_personal_service_value,specific_interest_areas_ds_physical_manual_labor_value,specific_interest_areas_ds_physical_science_value,specific_interest_areas_ds_politics_value,specific_interest_areas_ds_professional_advising_value,specific_interest_areas_ds_protective_service_value,specific_interest_areas_ds_public_speaking_value,specific_interest_areas_ds_religious_activities_value,specific_interest_areas_ds_sales_value,specific_interest_areas_ds_social_science_value,specific_interest_areas_ds_social_service_value,specific_interest_areas_ds_teaching_education_value,specific_interest_areas_ds_transportation_machine_operation_value,specific_interest_areas_ds_visual_arts_value,specific_interest_areas_oi_accounting_value,specific_interest_areas_oi_agriculture_value,specific_interest_areas_oi_animal_service_value,specific_interest_areas_oi_applied_arts_and_design_value,specific_interest_areas_oi_athletics_value,specific_interest_areas_oi_business_initiatives_value,specific_interest_areas_oi_construction_woodwork_value,specific_interest_areas_oi_creative_writing_value,specific_interest_areas_oi_culinary_art_value,specific_interest_areas_oi_engineering_value,specific_interest_areas_oi_finance_value,specific_interest_areas_oi_health_care_service_value,specific_interest_areas_oi_human_resources_value,specific_interest_areas_oi_humanities_value,specific_interest_areas_oi_information_technology_value,specific_interest_areas_oi_law_value,specific_interest_areas_oi_life_science_value,specific_interest_areas_oi_management_administration_value,specific_interest_areas_oi_marketing_advertising_value,specific_interest_areas_oi_mathematics_statistics_value,specific_interest_areas_oi_mechanics_electronics_value,specific_interest_areas_oi_media_value,specific_interest_areas_oi_medical_science_value,specific_interest_areas_oi_music_value,specific_interest_areas_oi_nature_outdoors_value,specific_interest_areas_oi_office_work_value,specific_interest_areas_oi_performing_arts_value,specific_interest_areas_oi_personal_service_value,specific_interest_areas_oi_physical_manual_labor_value,specific_interest_areas_oi_physical_science_value,specific_interest_areas_oi_politics_value,specific_interest_areas_oi_professional_advising_value,specific_interest_areas_oi_protective_service_value,specific_interest_areas_oi_public_speaking_value,specific_interest_areas_oi_religious_activities_value,specific_interest_areas_oi_sales_value,specific_interest_areas_oi_social_science_value,specific_interest_areas_oi_social_service_value,specific_interest_areas_oi_teaching_education_value,specific_interest_areas_oi_transportation_machine_operation_value,specific_interest_areas_oi_visual_arts_value
11-1011.00,Chief Executives,accounting|public_speaking|finance|business_initiatives|management_administration|agriculture|animal_service|applied_arts_and_design|athletics|construction_woodwork|creative_writing|culinary_art|engineering|health_care_service|human_resources|humanities|information_technology|law|life_science|marketing_advertising|mathematics_statistics|mechanics_electronics|media|medical_science|music|nature_outdoors|office_work|performing_arts|personal_service|physical_science|physical_manual_labor|politics|professional_advising|protective_service|religious_activities|sales|social_science|social_service|teaching_education|transportation_machine_operation|visual_arts,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.02,1.06,1.02,1.19,1.17,6.82,1.06,1.41,1.23,1.54,5.51,1.79,3.86,1.38,2.37,3.09,1.23,6.86,3.51,1.97,1.17,2.31,1.28,1.07,1.11,2.0,1.13,1.56,1.0,1.1,3.76,1.78,1.32,5.14,1.09,2.87,1.81,1.63,2.12,1.1,1.13
11-1021.00,General and Operations Managers,human_resources|business_initiatives|management_administration|accounting|agriculture|animal_service|applied_arts_and_design|athletics|construction_woodwork|creative_writing|culinary_art|engineering|finance|health_care_service|humanities|information_technology|law|life_science|marketing_advertising|mathematics_statistics|mechanics_electronics|media|medical_science|music|nature_outdoors|office_work|performing_arts|personal_service|physical_science|physical_manual_labor|politics|professional_advising|protective_service|public_speaking|religious_activities|sales|social_science|social_service|teaching_education|transportation_machine_operation|visual_arts,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.83,1.3,1.22,1.16,1.17,6.03,1.25,1.14,1.85,1.32,3.75,1.69,3.86,1.19,1.95,1.69,1.15,6.86,2.7,1.91,1.23,1.33,1.08,1.07,1.13,2.74,1.02,2.24,1.1,1.07,2.09,1.97,1.24,3.57,1.04,3.34,1.49,1.31,1.75,1.36,1.07
11-1031.00,Legislators,management_administration|law|public_speaking|politics|accounting|agriculture|animal_service|applied_arts_and_design|athletics|business_initiatives|construction_woodwork|creative_writing|culinary_art|engineering|finance|health_care_service|human_resources|humanities|information_technology|life_science|marketing_advertising|mathematics_statistics|mechanics_electronics|media|medical_science|music|nature_outdoors|office_work|performing_arts|personal_service|physical_science|physical_manual_labor|professional_advising|protective_service|religious_activities|sales|social_science|social_service|teaching_education|transportation_machine_operation|visual_arts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.21,1.13,1.07,1.13,1.09,3.98,1.0,1.67,1.04,1.06,2.61,1.19,2.07,2.51,1.27,5.5,1.18,5.14,2.77,1.65,1.0,2.77,1.3,1.04,1.25,2.37,1.22,1.94,1.0,1.16,7.0,2.27,1.32,6.13,1.15,2.01,3.36,3.0,2.09,1.0,1.16
11-2011.00,Advertising and Promotions Managers,sales|media|business_initiatives|management_administration|marketing_advertising|accounting|agriculture|animal_service|applied_arts_and_design|athletics|construction_woodwork|creative_writing|culinary_art|engineering|finance|health_care_service|human_resources|humanities|information_technology|law|life_science|mathematics_statistics|mechanics_electronics|medical_science|music|nature_outdoors|office_work|performing_arts|personal_service|physical_science|physical_manual_labor|politics|professional_advising|protective_service|public_speaking|religious_activities|social_science|social_service|teaching_education|transportation_machine_operation|visual_arts,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.42,1.0,1.0,3.35,1.17,5.97,1.0,3.65,1.27,1.0,2.34,1.06,1.78,1.9,1.83,1.44,1.0,6.19,6.86,1.73,1.0,5.0,1.0,1.52,1.0,2.6,1.8,1.81,1.0,1.0,1.87,1.66,1.0,3.98,1.0,4.99,2.02,1.19,1.66,1.0,2.93
11-2021.00,Marketing Managers,public_speaking|sales|business_initiatives|management_administration|marketing_advertising|accounting|agriculture|animal_service|applied_arts_and_design|athletics|construction_woodwork|creative_writing|culinary_art|engineering|finance|health_care_service|human_resources|humanities|information_technology|law|life_science|mathematics_statistics|mechanics_electronics|media|medical_science|music|nature_outdoors|office_work|performing_arts|personal_service|physical_science|physical_manual_labor|politics|professional_advising|protective_service|religious_activities|social_science|social_service|teaching_education|transportation_machine_operation|visual_arts,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.96,1.01,1.0,2.03,1.14,6.42,1.0,1.76,1.23,1.14,2.98,1.13,2.65,1.32,2.11,1.95,1.08,6.55,6.62,2.61,1.03,2.8,1.08,1.07,1.0,2.88,1.28,1.56,1.0,1.03,1.8,1.78,1.0,4.37,1.0,4.94,2.5,1.21,1.51,1.0,1.72
11-2022.00,Sales Managers,marketing_advertising|public_speaking|business_initiatives|management_administration|sales|accounting|agriculture|animal_service|applied_arts_and_design|athletics|construction_woodwork|creative_writing|culinary_art|engineering|finance|health_care_service|human_resources|humanities|information_technology|law|life_science|mathematics_statistics|mechanics_electronics|media|medical_science|music|nature_outdoors|office_work|performing_arts|personal_service|physical_science|physical_manual_labor|politics|professional_advising|protective_service|religious_activities|social_science|social_service|teaching_education|transportation_machine_operation|visual_arts,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.36,1.04,1.0,1.1,1.06,6.25,1.06,1.16,1.23,1.14,2.67,1.13,3.38,1.16,1.65,1.4,1.03,6.37,4.48,1.73,1.14,1.46,1.05,1.0,1.0,3.18,1.06,1.97,1.0,1.0,1.43,2.36,1.0,4.77,1.0,6.57,1.49,1.21,2.18,1.16,1.04
11-2032.00,Public Relations Managers,politics|media|business_initiatives|public_speaking|management_administration|marketing_advertising|accounting|agriculture|animal_service|applied_arts_and_design|athletics|construction_woodwork|creative_writing|culinary_art|engineering|finance|health_care_service|human_resources|humanities|information_technology|law|life_science|mathematics_statistics|mechanics_electronics|medical_science|music|nature_outdoors|office_work|performing_arts|personal_service|physical_science|physical_manual_labor|professional_advising|protective_service|religious_activities|sales|social_science|social_service|teaching_education|transportation_machine_operation|visual_arts,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.96,1.0,1.0,2.45,1.32,5.16,1.0,3.06,1.23,1.0,1.67,1.26,2.69,2.27,1.71,1.91,1.03,6.1,6.24,1.28,1.0,4.79,1.08,1.21,1.11,2.95,1.67,2.07,1.0,1.02,4.18,2.3,1.16,6.0,1.13,3.12,2.64,1.97,2.12,1.0,2.18
11-2033.00,Fundraising Managers,marketing_advertising|sales|business_initiatives|public_speaking|management_administration|accounting|agriculture|animal_service|applied_arts_and_design|athletics|construction_woodwork|creative_writing|culinary_art|engineering|finance|health_care_service|human_resources|humanities|information_technology|law|life_science|mathematics_statistics|mechanics_electronics|media|medical_science|music|nature_outdoors|office_work|performing_arts|personal_service|physical_science|physical_manual_labor|politics|professional_advising|protective_service|religious_activities|social_science|social_service|teaching_education|transportation_machine_operation|visual_arts,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.39,1.0,1.07,1.52,1.26,5.71,1.0,1.84,1.23,1.0,3.34,1.23,2.61,1.44,1.56,1.73,1.0,6.33,4.72,1.65,1.0,3.37,1.08,1.14,1.13,3.1,1.37,2.24,1.0,1.0,2.58,2.12,1.0,5.87,1.34,5.46,2.02,2.58,1.93,1.0,1.37
11-3012.00,Administrative Services Managers,human_resources|office_work|management_administration|accounting|agriculture|animal_service|applied_arts_and_design|athletics|business_initiatives|construction_woodwork|creative_writing|culinary_art|engineering|finance|health_care_service|humanities|information_technology|law|life_science|marketing_advertising|mathematics_statistics|mechanics_electronics|media|medical_science|music|nature_outdoors|performing_arts|personal_service|physical_science|physical_manual_labor|politics|professional_advising|protective_service|public_speaking|religious_activities|sales|social_science|social_service|teaching_education|transportation_machine_operation|visual_arts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,1.01,1.0,1.03,1.0,3.14,1.0,1.07,1.19,1.14,2.22,1.73,3.86,1.16,2.08,1.51,1.03,6.73,1.35,1.65,1.2,1.12,1.08,1.0,1.0,5.74,1.0,2.01,1.12,1.0,1.5,1.97,1.36,2.72,1.0,1.43,1.58,1.65,2.58,1.13,1.0
11-3013.00,Facilities Managers,mechanics_electronics|engineering|management_administration|accounting|agriculture|animal_service|applied_arts_and_design|athletics|business_initiatives|construction_woodwork|creative_writing|culinary_art|finance|health_care_service|human_resources|humanities|information_technology|law|life_science|marketing_advertising|mathematics_statistics|media|medical_science|music|nature_outdoors|office_work|performing_arts|personal_service|physical_science|physical_manual_labor|politics|professional_advising|protective_service|public_speaking|religious_activities|sales|social_science|social_service|teaching_education|transportation_machine_operation|visual_arts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.89,1.14,1.05,1.32,1.5,2.65,3.06,1.09,1.23,3.38,2.25,1.59,2.8,1.06,2.3,1.47,1.18,6.19,1.26,1.67,3.32,1.12,1.08,1.0,1.6,2.74,1.04,2.2,2.05,1.39,1.65,1.63,2.14,2.58,1.0,1.4,1.35,1.44,2.09,2.0,1.09
