O*NET-SOC Code,Title,career_interest_types_ranked_OI,career_interest_types_OI_artistic_value,career_interest_types_OI_conventional_value,career_interest_types_OI_enterprising_value,career_interest_types_OI_investigative_value,career_interest_types_OI_realistic_value,career_interest_types_OI_social_value,career_interest_types_IH_first_interest_high_point_value,career_interest_types_IH_second_interest_high_point_value,career_interest_types_IH_third_interest_high_point_value
11-1011.00,Chief Executives,enterprising|conventional|social|investigative|artistic|realistic,2.16,4.97,6.96,3.05,1.26,3.54,5.0,6.0,0.0
11-1011.03,Chief Sustainability Officers,enterprising|investigative|conventional|social|artistic|realistic,2.48,4.49,6.68,4.78,2.04,3.55,5.0,2.0,6.0
11-1021.00,General and Operations Managers,enterprising|conventional|social|investigative|realistic|artistic,1.29,5.34,7.0,2.37,2.2,3.38,5.0,6.0,0.0
11-1031.00,Legislators,enterprising|social|conventional|investigative|artistic|realistic,2.7,3.62,5.52,3.35,1.54,3.69,5.0,4.0,6.0
11-2011.00,Advertising and Promotions Managers,enterprising|conventional|artistic|social|investigative|realistic,3.87,4.43,7.0,1.69,1.0,3.14,5.0,6.0,3.0
11-2021.00,Marketing Managers,enterprising|conventional|investigative|social|artistic|realistic,2.45,4.7,7.0,2.9,1.0,2.82,5.0,6.0,0.0
11-2022.00,Sales Managers,enterprising|conventional|social|investigative|realistic|artistic,1.36,5.53,7.0,1.67,1.49,3.37,5.0,6.0,0.0
11-2032.00,Public Relations Managers,enterprising|conventional|social|artistic|investigative|realistic,3.67,4.39,7.0,2.34,1.0,4.18,5.0,6.0,4.0
11-2033.00,Fundraising Managers,enterprising|conventional|social|artistic|investigative|realistic,2.61,4.82,7.0,2.41,1.0,3.76,5.0,6.0,4.0
11-3012.00,Administrative Services Managers,enterprising|conventional|social|investigative|realistic|artistic,1.11,6.27,6.47,2.12,1.42,3.74,5.0,6.0,4.0
11-3013.00,Facilities Managers,conventional|enterprising|realistic|social|investigative|artistic,1.61,5.35,5.35,2.6,4.15,3.58,5.0,6.0,1.0
11-3013.01,Security Managers,enterprising|conventional|investigative|realistic|social|artistic,1.3,5.43,5.63,3.69,3.39,2.75,5.0,6.0,0.0
11-3021.00,Computer and Information Systems Managers,conventional|enterprising|investigative|realistic|social|artistic,1.47,5.94,5.09,4.49,2.68,2.35,6.0,5.0,2.0
11-3031.00,Financial Managers,enterprising|conventional|social|investigative|artistic|realistic,1.59,5.56,7.0,2.46,1.36,3.04,5.0,6.0,0.0
11-3031.01,Treasurers and Controllers,conventional|enterprising|social|investigative|artistic|realistic,1.17,6.44,6.15,2.2,1.0,2.68,6.0,5.0,0.0
11-3031.03,Investment Fund Managers,enterprising|conventional|investigative|social|artistic|realistic,1.65,5.21,6.95,3.77,1.48,2.69,5.0,6.0,2.0
11-3051.00,Industrial Production Managers,enterprising|conventional|realistic|investigative|social|artistic,1.4,5.21,6.03,2.92,4.0,1.85,5.0,6.0,1.0
11-3051.01,Quality Control Systems Managers,conventional|enterprising|investigative|realistic|social|artistic,1.28,5.42,5.09,4.12,3.58,2.07,6.0,5.0,2.0
11-3051.02,Geothermal Production Managers,realistic|conventional|enterprising|investigative|social|artistic,1.0,4.82,4.58,3.35,5.35,2.07,1.0,6.0,5.0
11-3051.03,Biofuels Production Managers,enterprising|conventional|realistic|investigative|social|artistic,1.0,5.06,5.41,3.74,4.59,1.83,5.0,6.0,1.0
11-3051.04,Biomass Power Plant Managers,conventional|realistic|enterprising|investigative|social|artistic,1.0,5.34,4.86,3.19,5.12,1.72,6.0,1.0,5.0
11-3051.06,Hydroelectric Production Managers,realistic|conventional|enterprising|investigative|social|artistic,1.0,5.02,4.57,3.64,5.37,1.83,1.0,6.0,5.0
11-3061.00,Purchasing Managers,enterprising|conventional|social|realistic|investigative|artistic,1.2,5.98,7.0,1.77,2.49,2.7,5.0,6.0,0.0
11-3071.00,"Transportation, Storage, and Distribution Managers",enterprising|conventional|realistic|investigative|social|artistic,1.0,5.74,5.99,2.64,3.6,2.39,5.0,6.0,0.0
11-3071.04,Supply Chain Managers,enterprising|conventional|realistic|investigative|social|artistic,1.0,5.25,6.24,2.46,3.39,2.04,5.0,6.0,0.0
11-3111.00,Compensation and Benefits Managers,enterprising|conventional|social|investigative|artistic|realistic,1.41,5.66,7.0,2.18,1.0,3.81,5.0,6.0,4.0
11-3121.00,Human Resources Managers,enterprising|conventional|social|investigative|artistic|realistic,1.5,5.54,7.0,2.31,1.26,3.88,5.0,6.0,4.0
11-3131.00,Training and Development Managers,enterprising|social|conventional|investigative|artistic|realistic,2.57,4.04,6.35,3.04,1.9,5.54,5.0,4.0,6.0
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",enterprising|realistic|conventional|investigative|social|artistic,1.06,4.53,5.52,2.74,5.16,2.63,5.0,1.0,6.0
11-9021.00,Construction Managers,enterprising|conventional|realistic|investigative|social|artistic,1.7,4.8,5.73,3.18,4.68,2.35,5.0,6.0,1.0
